question_id,question,ideal_answer,topic,difficulty
JS010,What is the purpose of the arrow function syntax introduced in ES6?,"Arrow functions provide a shorter, highly concise syntax for writing function expressions and do not bind their own separate this context, inheriting this lexically from context.",JavaScript,Easy
JS011,Explain the concept of JavaScript closures and provide a common use case.,A closure is a function that retains access to its outer lexical scope variables even after that outer function has completely finished executing; common use cases include creating private variables.,JavaScript,Medium
JS012,What is hoisting in JavaScript and how does it affect variables and functions?,"Hoisting is the engine's compilation behavior where function declarations and variable allocations are moved to the top of their containing scope before code execution, though initialization remains in place.",JavaScript,Medium
JS013,Explain the difference between asynchronous operations and synchronous execution flows in JavaScript.,"Synchronous execution blocks subsequent code lines until the active command finishes, whereas asynchronous code non-blockingly defers operations (like API requests) to be handled via callbacks or promises later.",JavaScript,Medium
JS014,What is a JavaScript Promise and what are its three internal operational states?,"A Promise is an object representing the eventual completion or failure of an asynchronous operation, existing in one of three states: Pending, Fulfilled, or Rejected.",JavaScript,Medium
JS015,Explain how the keyword this behaves dynamically across different execution contexts in JavaScript.,"The value of this is determined by how a function is called: in a method it points to the owner object, in standalone functions it defaults to global/undefined, and in arrow functions it is lexical.",JavaScript,Medium
JS016,What is the difference between the Array.prototype.map() and Array.prototype.forEach() methods?,"Map iterates through an array and outputs a completely new array populated with the transformation results of the callback, while forEach simply executes a callback loop on items and returns undefined.",JavaScript,Medium
JS017,Explain the concepts of event bubbling and event capturing in the browser DOM routing model.,"Event bubbling fires the event handler on the target element first and trickles upward through its parent elements, while capturing propagates downward from the root document to the target element first.",JavaScript,Medium
JS018,What is prototype inheritance in JavaScript and how does it connect objects?,"Every JavaScript object possesses an internal private link to a prototype object, allowing objects to inherit methods and properties directly from other objects up a shared prototype chain.",JavaScript,Medium
JS019,Explain how the async and await keywords optimize working with asynchronous Promises.,"Async marks a function to automatically return a Promise, and await halts code execution linearly inside that async function until the target Promise settles, eliminating complex nested .then() chains.",JavaScript,Medium
JS020,What is the difference between Null and Undefined in JavaScript data definitions?,"Undefined means a variable has been declared but has not yet been assigned any value, whereas Null is an intentional assignment representing the explicit absence of any object value.",JavaScript,Medium
JS021,"Explain the JavaScript Event Loop mechanism, specifically highlighting the Macro-task and Micro-task queues.","The Event Loop processes synchronous code first, then executes all waiting items in the Micro-task queue (like Promise callbacks) to completion, before pulling a single item from the Macro-task queue (like setTimeout).",JavaScript,Hard
JS022,What is the temporal dead zone (TDZ) in JavaScript and when does it occur?,TDZ is the behavior between the entering of a block scope and the explicit line where a let or const variable is declared; accessing the variable within this zone throws a ReferenceError.,JavaScript,Hard
JS023,Explain the difference between deep cloning and shallow cloning of objects using JSON methods vs structuredClone().,"JSON.parse(JSON.stringify(obj)) creates a deep clone but breaks complex types like Dates, Functions, or RegExps, while the native structuredClone() safely clones deep records including modern circular structures.",JavaScript,Hard
JS024,What are JavaScript Generators and how do you control their execution states?,"Generators are special functions that can yield execution control, pausing mid-process using the yield keyword. Execution states are resumed sequentially by calling the generator's iterator .next() method.",JavaScript,Hard
JS025,"Explain how Function.prototype.bind(), call(), and apply() configure object execution contexts.",Call invokes a function immediately setting this with comma-separated arguments; Apply invokes immediately passing arguments inside an array; Bind returns a brand-new function with fixed this context for later use.,JavaScript,Hard
JS026,What is the purpose of WeakMap and how does it differ from a standard Map regarding garbage collection?,"WeakMap exclusively accepts objects as keys and references them weakly, meaning if an object key has no other active references, it is automatically garbage-collected alongside its corresponding value data.",JavaScript,Hard
JS027,Explain the concept of debouncing a function and how it differs from throttling function execution.,"Debouncing delays a function execution until a specific duration of silence has passed since the last invocation, whereas throttling enforces a strict maximum execution frequency pacing over time.",JavaScript,Hard
JS028,What is a memory leak in JavaScript and name a common cause related to DOM elements or event listeners.,A memory leak is memory that is allocated but no longer needed yet fails to be freed. A common cause is forgetting to remove event listeners attached to DOM elements that have been deleted from the view.,JavaScript,Hard
JS029,"Explain the technical difference between a regular script file, an ES module (<script type=""module"">), and an inline script.","ES modules execute in strict mode implicitly, defer loading automatically by default, scope variables to the file module itself instead of window, and permit native import/export statements.",JavaScript,Hard
JS030,What is Currying in JavaScript and how is it structurally implemented using closures?,"Currying breaks down a function that accepts multiple arguments into a sequential series of nested unary functions that each take a single argument, retaining preceding inputs via scope closures.",JavaScript,Hard
REACT001,What is React and what is its primary design purpose?,"React is an open-source JavaScript library developed by Meta for building user interfaces, with its primary purpose being the creation of modular single-page web applications using reusable views.",React,Easy
REACT002,What is a React Component and name the two primary types used in development.,"A Component is a self-contained, reusable building block that manages layout and data logic. The two types are Functional Components (written as functions) and Class Components (written as classes).",React,Easy
REACT003,What is JSX in React and is it natively readable by web browsers?,"JSX stands for JavaScript XML, an extension syntax allowing developers to write HTML-like elements directly inside JavaScript; it is not readable by browsers and must be compiled via tools like Babel.",React,Easy
REACT004,Explain the difference between props and state in React components.,"Props are immutable external parameters passed down into a component from its parent configuration, while State is local mutable data managed internally within the component itself.",React,Easy
REACT005,What is the purpose of the useState Hook in React functional components?,"The useState hook declares a local state variable inside a functional component, returning an array containing the current state value and a setter function to update that state.",React,Easy
REACT006,How do you handle a user button click event inside a React component?,"By passing a JavaScript event handler function directly to the element's camelCase onClick attribute, for example: <button onClick={handleClick}>Click</button>.",React,Easy
REACT007,What is the purpose of the key prop when rendering lists of elements in React?,"The key prop provides a stable string identifier that helps React's reconciliation algorithm track which list items have changed, been added, or been removed, ensuring optimal rendering performance.",React,Easy
REACT008,What does it mean for a component to be a controlled component in React forms?,"A controlled component has its form input value bound directly to a local React state variable, making the React state the single source of truth for that input's data value.",React,Easy
REACT009,What is the function of the root DOM node in a standard React application?,The root DOM node is the single target HTML container element where React takes control and mounts the entire top-level component tree layout of the application.,React,Easy
REACT010,How do you write a simple conditional rendering statement inside a React JSX block?,Conditional rendering can be achieved concisely using JavaScript logical operators like the ternary operator ({condition ? <True /> : <False />}) or the short-circuit AND operator (&&).,React,Easy
REACT011,"Explain the lifecycle of a component in terms of mounting, updating, and unmounting.","Mounting is inserting a component into the DOM; Updating happens when props or state change, causing a re-render; Unmounting is the removal of the component from the DOM structure.",React,Medium
REACT012,What is the purpose of the useEffect Hook and when does its cleanup function run?,"useEffect handles side effects (API calls, subscriptions) in functional components. Its optional cleanup function runs right before the component unmounts or before re-executing the effect on dependency changes.",React,Medium
REACT013,Explain the Virtual DOM concept and how React uses it to boost browser rendering speed.,"The Virtual DOM is a lightweight memory copy of the real DOM. React updates this virtual tree first, diffs it against a previous snapshot, and patches only the changed elements to the real DOM.",React,Medium
REACT014,What is the difference between standard functional components and components wrapped inside React.memo()?,Functional components always re-render when their parent re-renders; wrapping a component in React.memo optimizes it by shallowly comparing props and skipping re-renders if props haven't changed.,React,Medium
REACT015,What is React Context and what problem does it solve in large-scale applications?,"React Context provides a way to pass data down through the component tree globally without manually threading props through intermediate layout layers, effectively solving the problem of prop drilling.",React,Medium
REACT016,Explain the purpose and function of the useRef Hook in functional components.,useRef creates a mutable object whose .current property persists across re-renders without triggering a new component re-render when modified; it is commonly used to directly access DOM nodes.,React,Medium
REACT017,What are custom Hooks in React and what naming convention must they strictly follow?,"Custom Hooks are reusable JavaScript functions that encapsulate complex, stateful side-effect logic. They must strictly begin with the word """"use"""" (e.g., useFetchData) to comply with React rules.",React,Medium
REACT018,What is the difference between uncontrolled components and controlled components in form handling?,"Controlled components bind input state explicitly to React state variables, while uncontrolled components rely on the native DOM storage itself, retrieving field values using a ref object on demand.",React,Medium
REACT019,What is the purpose of the useMemo Hook and how does it optimize heavy calculations?,"useMemo caches the calculated result of a complex function, re-evaluating the computation only when variables in its explicit dependency array undergo literal structural changes.",React,Medium
REACT020,What are React Fragments and why are they preferred over wrapper <div> elements?,"Fragments let developers group multiple child elements together without adding unnecessary, redundant structural nodes to the real HTML DOM layout, keeping the nested hierarchy clean.",React,Medium
REACT021,Explain React's Reconciliation Algorithm and the significance of Fiber architecture.,"Reconciliation matches virtual elements against live nodes. Fiber is React's rewritten core engine that breaks reconciliation work into small increments, allowing the browser to pause and prioritize UI updates.",React,Hard
REACT022,What is the purpose of useCallback and how does its structural implementation differ from useMemo?,"useCallback returns a memoized version of the actual callback function itself to prevent recreation across renders, while useMemo executes a function and returns a memoized value result.",React,Hard
REACT023,Explain how Error Boundaries work in React and state their core implementation limitation.,Error Boundaries are special class components that catch JavaScript errors anywhere in their child tree via getDerivedStateFromError. They cannot catch errors inside asynchronous callbacks or event handlers.,React,Hard
REACT024,What is the difference between synthetic events and native browser events in React applications?,"React wraps native browser events in a cross-browser cross-compatible SyntheticEvent wrapper, implementing a centralized high-performance event delegation system attached directly to the root DOM node container.",React,Hard
REACT025,"Explain the concept of concurrent rendering features introduced in React 18, such as transitions.","Concurrent rendering allows React to prepare multiple UI versions in the background non-blockingly. Transitions let developers tag heavy rendering updates as non-urgent, keeping the main page interactive during computations.",React,Hard
REACT026,What is code splitting in React and how do React.lazy and WithSuspense accomplish its structural implementation?,"Code splitting breaks a large application bundle into chunks. React.lazy dynamically loads a component module on demand, while Suspense provides a fallback layout spinner until that chunk finishes downloading.",React,Hard
REACT027,Explain how the useReducer Hook works and when it is preferred over standard useState states.,"useReducer manages component state via a specialized reducer function following a (state, action) pattern, preferred over useState for complex components tracking multi-layered state shapes or dependent toggles.",React,Hard
REACT028,What are React Portals and provide a standard layout scenario where they are absolutely necessary.,"Portals let components render child elements into a completely separate DOM node outside the main component hierarchy, necessary for overlays like modals that require escaping parent overflow or z-index constraints.",React,Hard
REACT029,What is server-side rendering (SSR) in React applications and what is its hydration process?,SSR pre-renders the initial React component layout tree into static HTML strings on the server. Hydration is the client-side process where React attaches interactive event listeners to that static HTML markup.,React,Hard
REACT030,Explain why you should never mutate state variables directly in React and what architectural bugs it causes.,"Direct mutations modify values without altering object references, preventing React from identifying state changes during shallow equality checks, which silently suppresses component re-rendering cycles entirely.",React,Hard
NODE001,What is Node.js and what engine does it execute code on?,Node.js is an open-source cross-platform runtime environment that allows developers to run JavaScript code server-side. It executes on Google Chrome's high-performance V8 JavaScript engine.,Node.js,Easy
NODE002,What is npm in the Node.js ecosystem?,"npm stands for Node Package Manager, which acts as an official online repository for sharing open-source packages and a CLI tool to install and manage project dependencies.",Node.js,Easy
NODE003,How do you import a module in Node.js using the CommonJS module system?,"By invoking the global require() function and passing the module name or file path string, for example: const fs = require('fs');.",Node.js,Easy
NODE004,What is the purpose of the package.json file in a Node.js project?,"The package.json file acts as a manifest configuration sheet storing vital metadata about the project, script shortcuts, author configurations, and exact package dependency lists.",Node.js,Easy
NODE005,What is the purpose of the core fs module in Node.js?,"The fs (File System) module provides a collection of built-in APIs that allow programs to interact with, create, read, update, and delete files on the local physical operating system.",Node.js,Easy
NODE006,Explain the difference between process.nextTick() and setImmediate() in Node.js execution schedule.,"process.nextTick() executes its callback immediately at the end of the current operational phase before the event loop advances, while setImmediate() fires during the following check phase of the loop.",Node.js,Easy
NODE007,What is the purpose of the path core module in Node.js?,"The path module provides helpful utilities for inspecting, working with, and joining file and directory paths string structures across different operating systems cleanly.",Node.js,Easy
NODE008,How do you access command-line arguments passed to a running Node.js script?,"Command-line arguments are stored inside a globally accessible array called process.argv, where the custom inputs begin at index array position two.",Node.js,Easy
NODE009,What is Express.js in relation to Node.js development?,"Express.js is a minimal, flexible web application routing framework built on top of Node.js designed to simplify creating HTTP servers, APIs, and handling custom middleware routing configurations.",Node.js,Easy
NODE010,What is the role of the global process object in Node.js applications?,"The process object provides control and diagnostic information about the currently running node script instance, containing environment configurations, active directory paths, and exit controls.",Node.js,Easy
NODE011,"Explain the single-threaded, event-driven, non-blocking I/O model of Node.js.","Node.js executes JavaScript code inside a single main thread, delegating long-running operations (like network calls) to the system kernel or background threads, processing completions non-blockingly via callbacks.",Node.js,Medium
NODE012,What is middleware in the context of an Express.js server layout?,"Middleware refers to a sequence of wrapper functions that have sequential access to the request object, response object, and the next middleware execution signal in the routing cycle.",Node.js,Medium
NODE013,Explain the difference between module.exports and exports in Node.js module setups.,"module.exports is the actual literal object returned when requiring a module, while exports is simply a shorthand variable reference helper that points to module.exports initially.",Node.js,Medium
NODE014,What are streams in Node.js and why are they highly efficient for data handling?,"Streams are data-handling structures that let programs read data from a source or write data to a destination incrementally piece-by-piece, avoiding memory saturation when processing huge files.",Node.js,Medium
NODE015,What is the purpose of the Buffer class in Node.js operations?,"The Buffer class provides a global mechanism for handling, parsing, and manipulating raw binary streams of data directly within JavaScript, which traditionally only understood strings.",Node.js,Medium
NODE016,Explain how error-first callbacks work structurally across Node.js asynchronous APIs.,"Error-first callbacks dictate that the first argument passed to the callback function is reserved for an error object if something failed, followed by data payloads if successful.",Node.js,Medium
NODE017,What is the difference between synchronous methods like fs.readFileSync and asynchronous methods like fs.readFile?,"Synchronous methods block the entire execution thread until the file operation completes, stalling user requests, while asynchronous methods delegate work background-side, keeping the server responsive.",Node.js,Medium
NODE018,What is the purpose of the Node.js events module and the EventEmitter class?,The events module enables event-driven architectures. The EventEmitter class allows objects to bind custom listeners to string keys and programmatically emit events that trigger asynchronous handlers.,Node.js,Medium
NODE019,Explain the purpose of environment variables and how they are accessed inside Node.js applications.,Environment variables store sensitive configurations isolated from the codebase and are retrieved at runtime via the process.env object interface.,Node.js,Medium
NODE020,What is the function of the package-lock.json file and why should it be committed to source control?,"package-lock.json locks down the exact version dependencies and nested sub-dependencies installed in node_modules, ensuring identical repeatable builds across separate development environments.",Node.js,Medium
NODE021,"Explain the internal phases of the Node.js Event Loop architecture (Timers, Poll, Check, etc.).","The event loop loops through distinct phases: Timers (setTimeout), Pending Callbacks, Idle/Prepare, Poll (I/O operations), Check (setImmediate), and Close Callbacks, executing micro-tasks between each phase.",Node.js,Hard
NODE022,What is the Libuv library and what specific role does it play inside Node.js execution mechanics?,Libuv is a multi-platform C library that powers Node.js by providing the event loop mechanism and managing an internal thread pool to handle asynchronous blockable operations.,Node.js,Hard
NODE023,Explain how worker threads via worker_threads differ from the clustering cluster module system in Node.js scalability.,"Clustering spawns multiple completely separate operating processes that share server ports, while Worker Threads execute multiple lightweight processing threads sharing memory inside a single process container.",Node.js,Hard
NODE024,How do you handle unhandled promise rejections or uncaught exceptions globally to prevent server crashes?,"By listening to global system events on the process object using process.on('uncaughtException', handler) and process.on('unhandledRejection', handler) to log diagnostics safely before restarting.",Node.js,Hard
NODE025,Explain how backpressure occurs in Node.js streams and how it is mitigated using pipe mechanics.,Backpressure occurs when data is read from a source faster than the writable stream destination can actively write it. Using stream.pipe() automatically throttles the reader to match writer speeds.,Node.js,Hard
NODE026,What is the architectural difference between using CommonJS (require) and ES Modules (import) regarding loading behavior?,"CommonJS modules are evaluated synchronously at runtime and can be dynamically imported, whereas ES Modules are parsed statically at compile-time, requiring structured imports before code runs.",Node.js,Hard
NODE027,"How does Node.js leverage memory management via the V8 Garbage Collector, and what triggers a Scavenge cycle?","V8 splits heap space into generational zones. A Scavenge cycle is a rapid garbage collection pass targeting the 'New Space' zone, executing quickly to clear short-lived ephemeral variable references.",Node.js,Hard
NODE028,Describe how cryptographic data streams are implemented securely using the core crypto module for hashing sensitive passwords.,"The crypto module handles encryption routines; it hashes passwords using secure slow algorithms like PBKDF2 or scrypt, integrating random salt values to guard against rainbow table exploits.",Node.js,Hard
NODE029,What is the REPL environment in Node.js and what is its technical utility?,"REPL stands for Read-Eval-Print-Loop, a command-line interactive computer shell that instantly compiles, runs, and evaluates raw JavaScript expressions for prototyping or live debugging purposes.",Node.js,Hard
NODE030,Explain how Node.js pipes chunked data using HTTP chunked transfer encoding responses.,"Node.js sets the Transfer-Encoding header to chunked, allowing the server to stream data out in incremental blocks as it becomes available instead of buffering the entire payload in memory beforehand.",Node.js,Hard
DJ001,What is Django and what software design philosophy does it follow?,Django is a high-level Python web framework designed for rapid development. It strictly follows the Model-View-Template (MVT) architectural software design philosophy.,Django,Easy
DJ002,What is the purpose of the Django Object-Relational Mapper (ORM)?,The Django ORM allows developers to interact with relational databases using clean Python code and object models instead of writing raw SQL database queries manually.,Django,Easy
DJ003,What is the role of the manage.py file in a Django project structure?,"The manage.py file is a command-line utility script wrapper that provides administrative shortcuts for running local servers, creating apps, and executing database migrations.",Django,Easy
DJ004,How do you create a new sub-application inside an existing Django project framework?,By running the standard administrative management command inside the terminal directory: python manage.py startapp app_name.,Django,Easy
DJ005,What is the primary function of the urls.py file in Django projects?,"The urls.py file acts as the centralized URL routing table for the website, mapping web address path requests directly to their corresponding view controller functions.",Django,Easy
DJ006,What do migrations represent in Django development cycles?,"Migrations are simple Python files that log incremental historical changes to your Django models (adding fields, deleting tables), translating those definitions into database schemas.",Django,Easy
DJ007,What is Django's built-in Admin interface feature?,"Django Admin is a production-ready, automatically generated web-based interface that reads your project models to provide an instant graphical dashboard for content data management.",Django,Easy
DJ008,Explain the purpose of the settings.py file in Django projects.,"The settings.py file stores all universal configuration parameters for the project, including database credentials, installed apps, middleware strings, and timezone specifications.",Django,Easy
DJ009,How do you return a basic text response directly from a Django view function?,By importing the django.http.HttpResponse class and returning an instantiated instance of it wrapping your text string within the view definition.,Django,Easy
DJ010,What template engine does Django utilize by default?,Django utilizes its own built-in Django Template Language (DTL) which permits embedding Python-like logic structures inside standard HTML layout files.,Django,Easy
DJ011,Explain the exact flow of an HTTP request through Django's MVT architecture.,"The request hits the URL resolver, gets routed to the appropriate View, the View fetches data from the database via Models, binds it to an HTML Template, and returns a response.",Django,Medium
DJ012,What is the difference between a Django view function and a class-based view (CBV)?,"View functions are structured as single standard Python routines handling request types linearly, while CBVs leverage object-oriented principles like inheritance to provide structured, reusable logic blocks.",Django,Medium
DJ013,Explain how Django prevents Cross-Site Request Forgery (CSRF) attacks out-of-the-box.,Django injects a unique cryptographic token into user forms using the {% csrf_token %} tag and validates this token server-side upon form processing to verify legitimate origins.,Django,Medium
DJ014,What is the difference between the makemigrations and migrate commands in Django?,"makemigrations inspects structural changes in models.py and generates corresponding blueprint recipe files, while migrate actively executes those blueprint files against the target live database.",Django,Medium
DJ015,What is Django Middleware and provide a common use case for its implementation?,Middleware is a framework of hooks that intercepts requests and responses globally. A common use case is verifying user authentication states or compressing output payloads before processing.,Django,Medium
DJ016,Explain the difference between the null and blank field options in Django models.,"null dictates whether a field can store a database-level NULL value, whereas blank dictates whether the field is permitted to be empty during form validation procedures.",Django,Medium
DJ017,What is the purpose of the context dictionary passed to a Django template?,"The context dictionary maps variable names as keys to Python objects as values, allowing data computed in views to be rendered dynamically inside template layout structures.",Django,Medium
DJ018,How does Django handle user sessions using its default authentication framework?,"Django manages sessions by generating a unique tracking session hash token stored client-side in cookies, while storing corresponding data configurations securely in the server database.",Django,Medium
DJ019,What is the purpose of Django Form classes and how do they streamline user input validation?,"Django Form classes define form field schemas programmatically in Python, automatically generating front-end HTML structures while handling backend data parsing and security validation checks.",Django,Medium
DJ020,What are Django signals and when are they utilized in decoupled codebases?,"Signals allow separate components to communicate by triggering automated logic handlers elsewhere when specific framework events occur, such as post_save firing right after a model updates.",Django,Medium
DJ021,Explain the difference between select_related and prefetch_related database optimizations in Django ORM layouts.,"select_related performs an SQL join immediately to fetch forward foreign keys in a single query, whereas prefetch_related executes a separate query to fetch many-to-many lookup relations.",Django,Hard
DJ022,What are generic relations in Django and how are they implemented using the ContentTypes framework?,"Generic relations allow a database model to connect a foreign key to an object belonging to any installed model, implemented by linking fields to a content type ID and object ID pair.",Django,Hard
DJ023,How does Django's transaction.atomic() context manager provide safe concurrency control during database operations?,"transaction.atomic() guarantees the ACID properties of a block of code, automatically rolling back all sequential queries inside the block if any individual database query encounters an error.",Django,Hard
DJ024,What is the security hazard of setting DEBUG = True in a production Django configuration deployment?,"Setting DEBUG = True forces Django to display comprehensive traceback diagnostics on errors, leaking internal server paths, environment keys, configuration states, and source code fragments globally.",Django,Hard
DJ025,Explain how you would design a custom user model in Django and why it must be declared before running initial migrations.,A custom user model inherits from AbstractUser to let you add tailored identity fields; it must be declared initially because Django's internal tables map hard references to it.,Django,Hard
DJ026,What is the purpose of managers models.Manager in Django and how do you write a custom manager to alter default querysets?,"Managers provide the database query interface for models. A custom manager overrides the get_queryset() method to inject default filtering filters (e.g., returning only published articles).",Django,Hard
DJ027,How does Django's cache framework operate and what is the technical difference between database caching and Memcached caching?,"Django cache captures compiled site segments. Database caching stores these segments back inside a standard disk relational table, while Memcached speeds lookups by utilizing high-speed volatile RAM arrays.",Django,Hard
DJ028,"Explain how the cross-origin resource sharing (CORS) security policy impacts Django REST Framework APIs, and how it is resolved.",CORS prevents browsers from making cross-origin API requests. It is resolved in Django by applying middleware like django-cors-headers to whitelist specific origin domain strings.,Django,Hard
DJ029,What is the structural utility of Abstract Base Classes versus Multi-table Inheritance in Django database design?,"Abstract Base Classes only create a database table for the concrete subclasses, keeping schemas clean, while Multi-table Inheritance constructs a physical table for both parent and child linked by foreign keys.",Django,Hard
DJ030,How do you optimize a slow Django queryset dealing with heavy database pagination across millions of rows?,"By avoiding expensive high-offset pagination via standard slice mechanics, instead implementing cursor-based token pagination that queries rows strictly relative to the last processed record ID.",Django,Hard
FL001,What is Flask and what type of framework category does it fit into?,"Flask is a lightweight, open-source web application framework written in Python. It fits into the micro-framework category because it does not require rigid specific database tools or libraries.",Flask,Easy
FL002,What are the two core dependency packages that Flask is natively built upon?,Flask is built natively upon the Werkzeug WSGI toolkit for handling routing logic and the Jinja2 template rendering system engine.,Flask,Easy
FL003,How do you define a basic URL route and its corresponding view function in a Flask application?,By wrapping a Python function with the @app.route('/') decorator directly above the function definition statement.,Flask,Easy
FL004,What is the purpose of the render_template() function in Flask workflows?,"The render_template() function compiles an external Jinja2 template HTML file, binds provided data variables, and returns the resulting processed markup text back to the browser user.",Flask,Easy
FL005,How do you handle distinct HTTP request methods like GET and POST on a single Flask route?,"By defining the permitted protocols inside the route decorator's methods list argument, for example: @app.route('/data', methods=['GET', 'POST']).",Flask,Easy
FL006,What does the Flask command flask run accomplish inside a terminal environment?,"The flask run command boots up a local web development server instance, allowing developers to host and test their applications locally on their machine grid.",Flask,Easy
FL007,How do you retrieve dynamic parameter values embedded directly within a Flask URL path?,"By specifying variable rules inside angle brackets within the route path, which are then passed as keyword arguments into the view function (e.g., @app.route('/user/<name>')).",Flask,Easy
FL008,What is the mechanism for accessing incoming query string parameter data in a Flask view function?,Query string parameters are accessed by reading data attributes off the globally imported request object via request.args.get('parameter_name').,Flask,Easy
FL009,How do you return a modern JSON response payload from a Flask view function structure?,"By importing and returning the results of the flask.jsonify() function, which converts Python dictionaries or lists into compliant JSON strings with the proper header types.",Flask,Easy
FL010,What is the purpose of debug mode debug=True in Flask development workflows?,Debug mode activates an interactive browser-based code debugger and automatically reloads the development server background framework the moment a file modification is saved.,Flask,Easy
FL011,Explain the architectural concept of Blueprints in larger-scale Flask applications.,"Blueprints are organizational modules used to group related views, templates, and static resources together, allowing developers to segment huge applications into independent, maintainable sub-sections.",Flask,Medium
FL012,What is the purpose of the Flask g object and how does it differ from the session object?,"The g object is a temporary global namespace used to store custom data for the duration of a single isolated request cycle, whereas the session object persists across multiple user visits.",Flask,Medium
FL013,"Explain how Flask handles application and request contexts, mentioning the role of current_app.","Flask separates configurations using Application Context (tracking current_app details) and Request Context (tracking specific request variables), automatically pushing context variables to the active executing thread.",Flask,Medium
FL014,What is the purpose of Flask-WTF and how does it improve form processing workflows?,"Flask-WTF integrates Flask with WTForms, offering automated validation routines, secure token integration, and neat object-oriented forms mapping directly within layout templates.",Flask,Medium
FL015,Explain how cookie management is handled natively within Flask views.,"Cookies are read from the request.cookies dictionary interface, and new cookies are set by calling the .set_cookie() method explicitly on an instantiated response object structure before returning.",Flask,Medium
FL016,What is Flask-SQLAlchemy and what problem does it address for developers?,"Flask-SQLAlchemy is an extension that adds support for SQLAlchemy ORM inside Flask, providing a clean wrapper to interface with various SQL backends via Python models.",Flask,Medium
FL017,How do you perform URL redirection and pass dynamic notification updates to the next page layout using Flask?,"Redirection is achieved using redirect(url_for('view_name')), while temporary notifications are passed across pages using Flask's built-in flash() messaging framework queue.",Flask,Medium
FL018,What are Flask request hooks like @app.before_request and how are they utilized?,"Request hooks are decorators that execute custom logic tasks automatically at specific times, such as running a token validation check before passing control to the main view.",Flask,Medium
FL019,Explain the purpose of configuration handling in Flask and how to load settings from an external file.,Configuration keys manage server settings. They are loaded cleanly from files by defining values in Python and calling app.config.from_pyfile('config.cfg') on initialization.,Flask,Medium
FL020,What is a Flask extension and provide three highly common examples used in industry production.,"An extension is a plugin package that adds specialized capabilities to the micro-framework. Three examples include Flask-Login (auth), Flask-Migrate (database), and Flask-CORS (security).",Flask,Medium
FL021,Explain how the Werkzeug WSGI server interacts with Flask and why it shouldn't be used directly in production.,Werkzeug translates raw incoming socket data into structured Python request objects for Flask. It should not be used in production because its single-threaded layout lacks multi-worker request queuing capabilities.,Flask,Hard
FL022,What is the application factory pattern in Flask and what architectural flexibility does it introduce?,"The application factory pattern instantiates the Flask app object inside a function rather than globally, allowing developers to create multiple distinct app instances with unique configurations for testing.",Flask,Hard
FL023,Explain how the context processor decorator @app.context_processor operates in Flask template workflows.,"The context processor automatically injects dictionary variables or custom function utilities globally into all Jinja2 templates, avoiding the need to manually pass identical values down from views.",Flask,Hard
FL024,How do you handle user authentication state management securely using the Flask-Login extension mechanism?,"Flask-Login handles sessions via a user_loader callback that queries database records based on cookie IDs, automatically verifying logins and protecting paths using the @login_required decorator.",Flask,Hard
FL025,Explain how to implement thread-safe global context management inside Flask when dealing with high-volume asynchronous tasks.,"Flask utilizes Werkzeug's LocalProxy mechanism to bind objects like request directly to the active executing thread, ensuring separate threads never leak or overwrite concurrent context states.",Flask,Hard
FL026,What is the architectural role of Flask-Migrate and how does it interface with Alembic scripts?,"Flask-Migrate exposes database migration CLI utilities inside Flask, mapping model structures into operational Alembic tracking scripts to safely update relational schemas over time.",Flask,Hard
FL027,How does Flask mitigate structural resource exhaustion attacks when receiving large file uploads from clients?,"Flask sets a MAX_CONTENT_LENGTH configuration variable that intercepts transmissions, automatically returning an HTTP 413 Payload Too Large error if a stream file exceeds maximum byte size allocations.",Flask,Hard
FL028,Explain how custom URL converters can be developed in Flask to validate input data structures directly in routing headers.,"By subclassing Werkzeug's BaseConverter, defining custom regular expression rules inside, and registering the class into app.url_map.converters map before launching application frameworks.",Flask,Hard
FL029,What is the difference between streaming text responses using a Python generator function versus returning standard responses in Flask?,"Standard responses calculate the complete return payload string inside server memory before shipping, while generator responses utilize yield blocks to stream data chunks incrementally to clients without RAM bloat.",Flask,Hard
FL030,How would you structure a secure RESTful API using Flask-RESTful extension architectures?,"By subclassing Resource classes, defining clean verb methods like get() or post(), and utilizing explicit reqparse frameworks to safely validate incoming JSON parameter fields against threat models.",Flask,Hard
AND001,What is an Activity in Android and what is its primary purpose?,"An Activity represents a single screen with a user interface, serving as the primary entry point for a user's interaction with an Android application.",Android Development,Easy
AND002,What is the purpose of the AndroidManifest.xml file?,"The AndroidManifest.xml file acts as a root configuration blueprint that declares essential application components, permissions, hardware configurations, and target SDK properties to the Android operating system.",Android Development,Easy
AND003,Explain the difference between explicit and implicit Intents.,"An explicit Intent specifies the exact target component class name to launch, whereas an implicit Intent declares a general action to perform, allowing the OS to find matching applications.",Android Development,Easy
AND004,What is the function of the 'findViewById()' method in traditional Android development?,The findViewById() method traverses the application's active XML layout hierarchy at runtime to instantiate and bind a specific visual View object based on its unique resource ID variable.,Android Development,Easy
AND005,What are the primary layout components available in standard XML layouts?,"Primary layouts include LinearLayout (arranges children linearly in a single row or column), RelativeLayout (arranges children relative to parents or siblings), and ConstraintLayout (arranges views via flexible anchor constraints).",Android Development,Easy
AND006,What does the Gradle build system do in an Android project?,"Gradle compiles the application's source code, assets, and third-party libraries into an executable application package file called an APK or AAB based on defined build scripts.",Android Development,Easy
